sep=,
"Time","open5gs-ue01-7886556548-7gq8b","open5gs-ue01-7886556548-89fdl","open5gs-ue01-7886556548-fvhhm","open5gs-ue01-7886556548-qbtng","open5gs-ue02-845478dcb4-25z6w","open5gs-ue02-845478dcb4-4tht4","open5gs-ue02-845478dcb4-99xsk","open5gs-ue02-845478dcb4-9j8gc","open5gs-ue02-845478dcb4-bqb5b","open5gs-ue02-845478dcb4-d2dmf","open5gs-ue02-845478dcb4-dnvqx","open5gs-ue02-845478dcb4-hmdwb","open5gs-ue02-845478dcb4-jjcms","open5gs-ue02-845478dcb4-llgrc","open5gs-ue02-845478dcb4-ngvff","open5gs-ue02-845478dcb4-nqc5f","open5gs-ue02-845478dcb4-ntt2n","open5gs-ue02-845478dcb4-pfrh4","open5gs-ue02-845478dcb4-pgfvr","open5gs-ue02-845478dcb4-srgsf","open5gs-ue02-845478dcb4-vdzvs","open5gs-ue02-845478dcb4-x9l8q","open5gs-ue02-845478dcb4-xwp9h","open5gs-ue02-845478dcb4-zx59q"
1704569895000,0.09885164540000001,0,0.09210573676666667,0.09568173303333333,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0.05779648246666667,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1704569910000,0.09885164540000001,0,0.09210573676666667,0.09568173303333333,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0.05779648246666667,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1704569925000,0.189419208,0.1572508245,0.16669783903333332,0.08203089863333336,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0.05043942776666668,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1704569940000,0.189419208,0.1572508245,0.16669783903333332,0.08203089863333336,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0.05043942776666668,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1704569955000,0.1416255192,0.17556053046666661,0.13132318366666668,0.2040296941666667,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0.04993896253333332,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1704569970000,0.1416255192,0.17556053046666661,0.13132318366666668,0.2040296941666667,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0.04993896253333332,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1704569985000,0.2073713942333333,0.19595646743333336,0.13416758446666668,0.15957103946666668,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0.06038047071569054,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1704570000000,0.2073713942333333,0.19595646743333336,0.13416758446666668,0.15957103946666668,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0.06038047071569054,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1704570015000,0.1681176971899063,0.15730504933497777,0.16433714543818123,0.16725119447314912,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0.04959920402653243,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1704570030000,0.1681176971899063,0.15730504933497777,0.16433714543818123,0.16725119447314912,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0.04959920402653243,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1704570045000,0.09762805446485122,0.15840429692343597,0.12431682937235429,0.10567906509783007,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0.03168544931497718,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1704570060000,0.09762805446485122,0.15840429692343597,0.12431682937235429,0.10567906509783007,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0.03168544931497718,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1704570075000,0.184522251,0.16508550149999998,0.14429231296666664,0.14319199539999994,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0.05325448755041497,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1704570090000,0.184522251,0.16508550149999998,0.14429231296666664,0.14319199539999994,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0.05325448755041497,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1704570105000,0.1480710786333333,0.15812595553333336,0.12689630163333337,0.1799792766,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0.07026883122770758,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1704570120000,0.1480710786333333,0.15812595553333336,0.12689630163333337,0.1799792766,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0.07026883122770758,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1704570135000,0.15876441626666665,0.10489226303333325,0.19623723106666655,0.10350715679999996,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0.03361776000799974,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1704570150000,0.15876441626666665,0.10489226303333325,0.19623723106666655,0.10350715679999996,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0.03361776000799974,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1704570165000,0.20353776193333345,0.20968759653333344,0.13474876053333343,0.1593827914000002,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0.043638346066666646,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1704570180000,0.20353776193333345,0.20968759653333344,0.13474876053333343,0.1593827914000002,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0.043638346066666646,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1704570195000,0.15339654063333322,0.15510812870000004,0.10382878176666654,0.14422592579999988,undefined,0.03945848476666666,undefined,undefined,0.042924908,0.04445288866666666,undefined,0.05961869073333336,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0.019388264133333336,undefined
1704570210000,0.15339654063333322,0.15510812870000004,0.10382878176666654,0.14422592579999988,undefined,0.03945848476666666,undefined,undefined,0.042924908,0.04445288866666666,undefined,0.05961869073333336,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0.019388264133333336,undefined
1704570225000,0.18507427846666683,0.17821016906666654,0.20975431973333344,0.1375860055333333,undefined,0.043995064066666666,undefined,undefined,0.0389408216,0.0524816747,undefined,0.04692812863333334,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0.05095689303333334,undefined
1704570240000,0.18507427846666683,0.17821016906666654,0.20975431973333344,0.1375860055333333,undefined,0.043995064066666666,undefined,undefined,0.0389408216,0.0524816747,undefined,0.04692812863333334,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0.05095689303333334,undefined
1704570255000,0.1227921415666666,0.15377037283333328,0.07188387536666659,0.15471650550000016,undefined,0.033122506899999994,undefined,undefined,0.03690015366666667,0.04314456216666665,undefined,0.04860306726666667,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0.04789165186666666,undefined
