sep=,
"Time","open5gs-ue01 (10.245.1.226)","open5gs-ue02 (10.245.0.79)","open5gs-ue03 (10.245.17.232)","open5gs-ue04 (10.245.3.3)","open5gs-ue01 (8.8.8.8)","open5gs-ue02 (8.8.8.8)","open5gs-ue03 (8.8.8.8)","open5gs-ue04 (8.8.8.8)"
1704941925000,4.583,2.067,1.439,2.703,18.62325,17.41,16.905,18.866
1704941940000,2.771,2.043,1.335,3.423,18.425,17.881,16.938,26.431
1704941955000,2.7647500000000003,1.654,11.873,3.054,19.662,16.732,16.551,28.312
1704941970000,2.92375,1.86,1.17,2.245,17.538749999999997,17.574,19.028,20.546
1704941985000,3.3905000000000003,1.35,1.207,1.326,18.2305,17.413,17.097,17.661
1704942000000,3.67775,1.53,1.401,5.422,19.63975,17.176,17.327,20.76
1704942015000,2.2032499999999997,2.449,1.228,1.563,17.838250000000002,17.417,16.602,17.984
1704942030000,2.15925,1.747,1.251,1.24,18.32875,17.68,16.584,17.458
1704942045000,1.8236666666666665,1.405,1.522,3.84,17.261333333333333,17.205,17.376,19.254
1704942060000,4.664,1.413,3.122,2.269,27.761333333333333,17.35,18.542,16.889
1704942075000,4.048333333333334,2.076,1.497,3.322,20.375,17.294,17.187,18.023
1704942090000,2.850666666666667,1.569,1.743,3.896,17.966333333333335,16.883,17.403,18.621
1704942105000,2.4433333333333334,1.572,1.231,1.36,17.604,16.938,21.415,17.907
1704942120000,1.611,2.242,1.512,2.46,17.987000000000002,17.199,16.811,17.704
1704942135000,2.6679999999999997,2.355,1.239,2.19,16.78633333333333,17.591,16.586,17.127
1704942150000,2.8203333333333336,1.948,2.176,3.277,19.551666666666666,17.331,17.297,18.937
1704942165000,4.324333333333334,1.815,1.648,1.012,19.367,17.403,17.156,18.579
1704942180000,2.6900000000000004,1.875,1.428,1.821,17.632,17.583,16.946,17.482
1704942195000,4.925666666666666,2.5995,3.16175,3.6929999999999996,20.910666666666668,18.77075,18.655,19.887666666666668
1704942210000,2.0766666666666667,2.6828,3.7377999999999996,5.329000000000001,17.246666666666663,18.7962,25.353800000000003,21.6574
1704942225000,5.566333333333333,2.988,4.6034,5.2962,19.182333333333332,18.163600000000002,22.748,21.636799999999997
1704942240000,3.9110000000000005,2.6283999999999996,16.146,4.856800000000001,19.402333333333335,20.173199999999998,24.9752,20.5144
1704942255000,4.194333333333333,3.1348000000000003,2.8604000000000003,7.2728,19.084333333333333,19.800199999999997,27.213199999999997,19.737399999999997
1704942270000,2.757,4.053400000000001,10.7562,4.511,18.11,19.817400000000003,25.1498,19.945600000000002
1704942285000,1.484,3.9411999999999994,5.255800000000001,5.4704,19.246333333333332,19.0422,20.555799999999998,19.026799999999998
1704942300000,4.218666666666667,2.1834,20.2076,6.2022,19.31433333333333,19.337999999999997,32.6696,22.7496
1704942315000,2.7376666666666667,2.3814,16.592799999999997,5.0518,18.736666666666668,18.7956,27.124200000000002,21.2296
1704942330000,6.192666666666667,4.6026,13.859,5.8792,20.618000000000002,18.552799999999998,26.563200000000002,21.1982
1704942345000,1.4866666666666668,2.8636,9.1874,5.3024,17.68033333333333,19.290000000000003,21.8824,20.3972
1704942360000,4.690333333333333,2.9878,6.197,7.025799999999999,19.165999999999997,17.866000000000003,24.9016,23.852
1704942375000,2.2866666666666666,2.5582000000000003,11.8996,5.1844,20.111666666666668,22.321399999999997,25.3004,20.955000000000002
1704942390000,4.687666666666667,3.9941999999999993,7.828999999999999,6.1616,18.446,18.325799999999997,21.2684,21.3138
1704942405000,1.4453333333333334,3.0035999999999996,16.0288,5.468999999999999,16.78033333333333,19.1876,31.22,20.5518
1704942420000,1.5803333333333334,2.8634,3.5269999999999997,7.0565999999999995,18.720333333333333,19.309,19.6574,21.9272
1704942435000,2.4603333333333333,2.4344,20.2292,5.107,16.604666666666667,17.0752,26.5882,19.5374
1704942450000,2.907,3.1056,8.0778,7.6164000000000005,17.820333333333334,17.6988,24.7178,22.524
1704942465000,3.4833333333333334,2.5958,9.1778,7.4716,17.016,17.2502,23.951199999999996,23.7908
1704942480000,2.264666666666667,3.2988,6.3416,20.159,17.807333333333332,20.132800000000003,23.5686,32.5394
1704942495000,3.6003333333333334,4.172666666666666,10.437,9.5428,18.281,37.291666666666664,38.553,41.8266
1704942510000,2.3393333333333333,6.129599999999999,9.110000000000001,11.231900000000001,16.949666666666666,19.7349,29.0309,29.627000000000002
1704942525000,2.9309999999999996,5.518999999999999,17.1592,9.9821,18.374333333333336,20.2334,25.7367,25.723799999999997
1704942540000,3.5206666666666666,4.3246,17.8656,10.633599999999998,18.433666666666664,19.5203,37.9183,23.1047
1704942555000,5.770666666666666,4.907700000000001,9.0996,9.3674,20.668333333333333,19.6202,23.3996,21.0871
1704942570000,3.281,4.728899999999999,12.0529,9.939499999999999,19.149333333333335,19.253,28.0991,26.299799999999998
1704942585000,2.3640000000000003,9.9784,13.8244,8.974,19.201,24.8636,28.6235,24.365599999999997
1704942600000,2.6486666666666667,4.8243,14.4222,10.089899999999998,19.409333333333333,22.321,26.4968,24.448099999999997
1704942615000,2.687333333333333,4.579,14.670100000000001,11.2906,19.18133333333333,19.978600000000004,27.0157,23.285899999999998
1704942630000,2.780666666666667,6.742799999999999,15.161699999999998,9.396600000000001,18.596666666666668,21.507299999999997,28.601399999999998,22.6211
1704942645000,3.8666666666666663,5.0074,12.496400000000001,8.0397,17.913,18.1986,25.5808,23.347
1704942660000,2.4346666666666663,8.4852,12.1674,8.7003,18.048666666666666,22.945400000000003,27.631800000000002,22.4788
1704942675000,2.1563333333333334,5.8219,16.7631,8.2124,18.014,18.9804,33.7995,22.504499999999997
1704942690000,3.381,5.6853,9.6376,10.1568,19.802000000000003,21.4346,26.942600000000002,25.4668
1704942705000,4.115333333333334,5.4155,10.303500000000001,8.002,17.33566666666667,19.9526,25.627999999999997,23.019400000000005
1704942720000,4.24,4.6011,13.953100000000001,9.061,20.560666666666666,18.7491,27.2558,24.2162
1704942735000,4.663666666666666,3.816,17.1853,10.453199999999999,20.284333333333333,19.985699999999998,31.724000000000004,26.4459
1704942750000,3.6933333333333334,5.715699999999999,14.285200000000001,8.9211,23.827333333333335,22.269799999999996,29.587000000000003,27.288400000000003
1704942765000,2.2496666666666663,5.0915,14.320699999999999,10.980299999999998,17.48833333333333,20.252200000000002,30.604999999999997,26.802
1704942780000,2.9600000000000004,3.7939000000000003,12.236099999999999,14.1403,19.374,20.3541,29.145799999999998,27.719
1704942795000,2.559,9.3648,13.2861,10.722100000000001,17.123333333333335,22.685399999999998,25.6313,27.1631
1704942810000,2.5403333333333333,12.9532,12.727384615384617,13.840066666666665,17.54266666666667,23.9912,31.18423076923077,30.0374
1704942825000,2.2916666666666665,9.694200000000002,30.3762,15.369066666666665,19.753333333333334,25.552599999999998,37.846000000000004,27.62586666666667
1704942840000,2.4000000000000004,8.356066666666667,18.21173333333333,16.935933333333335,17.037333333333333,24.045,32.33766666666667,31.4096
