sep=,
"Time","open5gs-upf-1","open5gs-upf-2","open5gs-upf-3","open5gs-upf-4"
1704941925000,27721728,27799552,27799552,28127232
1704941940000,27729920,27799552,27799552,28135424
1704941955000,27734016,27811840,27811840,28139520
1704941970000,27738112,27811840,27811840,28139520
1704941985000,27742208,27820032,27815936,28147712
1704942000000,27746304,27820032,27820032,28147712
1704942015000,27750400,27824128,27824128,28151808
1704942030000,27750400,27828224,27828224,28155904
1704942045000,27762688,27840512,27832320,28168192
1704942060000,27766784,27844608,27840512,28172288
1704942075000,27770880,27848704,27844608,28176384
1704942090000,27774976,27848704,27848704,28180480
1704942105000,27779072,27852800,27852800,28184576
1704942120000,27783168,27856896,27856896,28188672
1704942135000,27783168,27860992,27860992,28188672
1704942150000,27791360,27869184,27865088,28196864
1704942165000,27799552,27877376,27873280,28205056
1704942180000,27873280,27951104,27951104,28282880
1704942195000,27877376,27955200,27955200,28286976
1704942210000,27881472,27959296,27959296,28291072
1704942225000,27885568,27963392,27963392,28295168
1704942240000,27893760,27971584,27971584,28303360
1704942255000,27897856,27975680,27975680,28303360
1704942270000,27897856,27975680,27975680,28307456
1704942285000,27906048,27987968,27983872,28311552
1704942300000,27910144,27987968,27987968,28319744
1704942315000,27914240,27992064,27992064,28323840
1704942330000,27922432,28000256,28000256,28332032
1704942345000,27926528,28004352,28000256,28336128
1704942360000,27930624,28008448,28008448,28336128
1704942375000,27930624,28008448,28008448,28344320
1704942390000,27934720,28016640,28012544,28344320
1704942405000,27942912,28020736,28020736,28348416
1704942420000,27947008,28024832,28024832,28360704
1704942435000,27955200,28033024,28033024,28364800
1704942450000,27955200,28037120,28033024,28368896
1704942465000,27963392,28041216,28041216,28368896
1704942480000,28045312,28123136,28114944,28450816
1704942495000,28106752,28184576,28184576,28524544
1704942510000,28110848,28196864,28196864,28524544
1704942525000,28123136,28200960,28200960,28532736
1704942540000,28123136,28209152,28205056,28536832
1704942555000,28131328,28209152,28209152,28540928
1704942570000,28131328,28209152,28209152,28545024
1704942585000,28135424,28217344,28217344,28545024
1704942600000,28139520,28221440,28217344,28557312
1704942615000,28143616,28229632,28229632,28557312
1704942630000,28151808,28229632,28229632,28565504
1704942645000,28155904,28237824,28229632,28565504
1704942660000,28164096,28241920,28241920,28577792
1704942675000,28164096,28241920,28241920,28577792
1704942690000,28164096,28250112,28250112,28590080
1704942705000,28176384,28254208,28254208,28590080
1704942720000,28176384,28262400,28262400,28590080
1704942735000,28184576,28262400,28262400,28598272
1704942750000,28184576,28270592,28266496,28598272
1704942765000,28192768,28270592,28270592,28606464
1704942780000,28266496,28340224,28336128,28819456
1704942795000,28286976,28368896,28368896,28839936
1704942810000,28295168,28368896,28368896,28844032
1704942825000,28295168,28377088,28377088,28844032
1704942840000,28299264,28377088,28377088,28852224
1704942855000,28303360,28385280,28381184,28852224
1704942870000,28303360,28385280,28385280,28864512
1704942885000,28311552,28393472,28385280,28864512
1704942900000,28319744,28434432,28401664,28876800
1704942915000,28327936,28405760,28401664,28876800
1704942930000,28327936,28409856,28409856,28880896
1704942945000,28332032,28409856,28409856,28884992
1704942960000,28336128,28418048,28413952,28889088
1704942975000,28340224,28418048,28418048,28897280
1704942990000,28344320,28426240,28426240,28897280
1704943005000,28348416,28430336,28430336,28905472
1704943020000,28360704,28438528,28438528,28909568
1704943035000,28360704,28442624,28442624,28913664
1704943050000,28364800,28442624,28442624,28917760
1704943065000,28368896,28450816,28446720,28925952
1704943080000,28434432,28639232,28626944,28962816
1704943095000,28491776,28692480,28696576,29011968
1704943110000,28512256,28712960,28700672,29032448
1704943125000,28516352,28717056,28704768,29036544
1704943140000,28524544,28725248,28712960,29044736
1704943155000,28528640,28729344,28712960,29048832
1704943170000,28532736,28737536,28717056,29052928
1704943185000,28536832,28741632,28725248,29057024
1704943200000,28540928,28741632,28729344,29061120
1704943215000,28545024,28745728,28733440,29065216
1704943230000,28549120,28749824,28737536,29069312
1704943245000,28553216,28753920,28741632,29077504
1704943260000,28561408,28762112,28749824,29085696
1704943275000,28565504,28770304,28753920,29085696
1704943290000,28573696,28774400,28758016,29093888
1704943305000,28573696,28774400,28762112,29093888
1704943320000,28577792,28778496,28766208,29097984
1704943335000,28581888,28782592,28770304,29102080
1704943350000,28585984,28786688,28770304,29110272
1704943365000,28590080,28794880,28778496,29114368
1704943380000,28602368,28803072,28786688,29122560

