sep=,
"Time","open5gs-ue01 (10.245.1.226)","open5gs-ue02 (10.245.0.79)","open5gs-ue03 (10.245.17.232)","open5gs-ue04 (10.245.3.3)","open5gs-ue01 (8.8.8.8)","open5gs-ue02 (8.8.8.8)","open5gs-ue03 (8.8.8.8)","open5gs-ue04 (8.8.8.8)"
1704863460000,5.5225,1.708,3.851,1.963,16.923000000000002,17.299,20.658,17.81
1704863475000,2.1765,1.227,1.205,1.27,19.4825,16.928,17.004,17.207
1704863490000,7.168000000000001,1.731,1.366,2.193,21.8065,17.39,16.958,17.871
1704863505000,3.05275,1.879,9.342,3.973,18.128,17.738,24.749,19.202
1704863520000,2.61625,1.256,1.083,2.316,20.36275,17.898,16.855,17.976
1704863535000,6.31875,1.152,1.571,1.83,18.439249999999998,16.835,17.082,17.396
1704863550000,5.99175,1.836,1.087,1.723,19.47575,16.843,19.133,17.078
1704863565000,3.765,1.105,1.971,3.67,19.7655,16.831,16.892,18.803
1704863580000,4.051,2.119,3.356,2.062,18.38125,17.118,17.68,17.488
1704863595000,3.672,1.276,4.004,3.556,17.415,17.363,20.5,19.383
1704863610000,4.129,1.953,1.788,3.643,18.04375,17.085,16.912,19.356
1704863625000,4.71625,2.596,2.721,2.353,18.82825,18.25,17.852,18.284
1704863640000,3.93675,1.646,1.156,3.998,17.789749999999998,17.157,16.792,18.602
1704863655000,7.0615,1.34,1.223,1.259,17.6745,17.084,16.533,16.966
1704863670000,3.40075,1.231,2.139,3.516,18.907,19.556,17.009,17.965
1704863685000,3.5090000000000003,1.312,1.056,2.98,17.316499999999998,16.986,16.58,19.739
1704863700000,3.83075,1.652,1.94,2.358,20.816,17.442,17.067,17.539
1704863715000,3.63,1.565,2.313,3.602,18.45575,17.205,18.476,17.648
1704863730000,3.40175,2.246,2.001,2.609,18.715,17.548,16.878,18.182
1704863745000,4.22675,1.765,2.046,3.947,18.39575,16.86,17.33,18.215
1704863760000,6.052750000000001,2.867,1.585,3.446,21.562,21.935,20.128,21.106
1704863775000,2.763,3.1118,7.2788,7.796799999999999,17.79975,17.8706,25.1892,20.4052
1704863790000,3.70775,3.2860000000000005,11.4408,5.6175999999999995,20.6425,18.4778,28.0586,19.5728
1704863805000,2.21625,2.9301999999999997,14.2028,4.7476,18.259999999999998,18.4482,25.6308,19.1442
1704863820000,4.939500000000001,3.7428000000000003,17.394,4.8106,22.87075,18.1496,25.968799999999998,20.330000000000002
1704863835000,3.3575000000000004,5.0274,14.478399999999999,6.8378,21.2345,18.4586,27.9616,19.0238
1704863850000,4.016500000000001,3.7644,13.049999999999999,7.1756,18.36475,18.895399999999995,25.2572,22.2416
1704863865000,5.14075,5.3914,5.7143999999999995,7.585399999999999,21.056749999999997,21.4848,19.834600000000002,23.2462
1704863880000,2.9162500000000002,3.5032,11.1456,5.5976,17.526749999999996,18.168400000000002,22.6006,20.946399999999997
1704863895000,3.1825,1.9406,4.701,6.852399999999999,20.28,17.2628,21.562199999999997,21.6614
1704863910000,5.21175,2.1216,17.7284,5.2104,20.4805,18.2908,33.5384,21.1622
1704863925000,5.410499999999999,3.4913999999999996,9.5066,5.8986,21.092,20.319200000000002,31.841800000000003,24.503
1704863940000,3.8905000000000003,3.2028,15.904599999999999,6.4814,19.3155,19.419,29.866799999999998,21.980199999999996
1704863955000,4.403250000000001,3.6666,16.308,6.4628000000000005,21.23075,17.6406,32.8516,20.3348
1704863970000,2.5237499999999997,2.7584000000000004,15.8292,7.493399999999999,18.622,18.285,27.207,21.362
1704863985000,4.03025,2.6924,12.4506,6.8102,20.7045,19.524,26.6864,21.363
1704864000000,3.9654999999999996,3.1372000000000004,15.834199999999997,5.5488,19.09375,18.7372,27.7928,25.2306
1704864015000,3.2687500000000003,5.527,4.309399999999999,8.475000000000001,17.567999999999998,21.123600000000003,23.528,23.1388
1704864030000,5.138249999999999,4.2666,14.3962,6.819,18.76575,20.1984,23.535,21.406
1704864045000,2.66775,3.5084,13.9076,6.1444,19.957749999999997,17.767200000000003,24.8698,21.7682
1704864060000,3.2185,4.5038,12.576800000000002,3.6282,17.5545,20.413600000000002,24.282,19.561400000000003
1704864075000,3.9509999999999996,5.311333333333334,14.010333333333334,7.123666666666667,18.24125,19.05811111111111,28.16133333333333,21.681666666666665
1704864090000,3.32075,6.5666,16.133200000000002,13.0832,19.8585,21.985699999999994,33.6366,26.539699999999996
1704864105000,2.39675,7.171,14.2164,9.8971,17.755499999999998,21.133599999999998,28.814700000000002,25.526000000000003
1704864120000,3.0690000000000004,5.584,12.764,10.091199999999999,18.51475,21.006399999999996,24.7996,25.1748
1704864135000,3.09225,6.3769,8.939400000000003,8.801300000000001,19.276,19.633200000000002,28.7681,23.223300000000002
1704864150000,5.1225000000000005,8.833,12.574700000000002,7.8336,20.71575,20.885299999999997,24.515400000000003,21.0478
1704864165000,5.36875,7.685,18.090199999999996,9.6329,20.296999999999997,20.759499999999996,32.066900000000004,24.341099999999997
1704864180000,3.22575,6.622400000000001,16.176000000000002,11.8542,20.42425,20.211100000000002,32.9881,27.9069
1704864195000,4.0385,6.4515,12.007200000000001,14.4462,17.9755,20.4272,27.9392,30.654600000000002
1704864210000,1.5637500000000002,6.0884,11.0962,11.280999999999999,17.714,19.838099999999997,25.5935,27.452399999999997
1704864225000,2.966,6.406599999999999,6.7393,9.2583,20.08475,21.146200000000004,30.3952,23.4404
1704864240000,3.9240000000000004,5.7699,13.531999999999998,11.4443,17.95675,21.5881,29.4916,25.999200000000002
1704864255000,3.9467499999999998,7.1926,15.527100000000003,9.212499999999999,19.65975,21.614600000000003,28.068999999999996,22.146499999999996
1704864270000,3.0012499999999998,6.802900000000001,14.5479,11.03,19.20525,21.5029,27.7905,26.915599999999994
1704864285000,2.1285,6.3583,7.725400000000001,9.6219,17.005499999999998,20.3407,25.7437,25.7364
1704864300000,2.34225,6.2966,8.8366,10.3368,18.754749999999998,19.6178,23.217900000000004,21.625999999999998
1704864315000,4.7589999999999995,7.1854,15.7418,10.925400000000002,19.202666666666666,22.3001,28.072899999999997,26.665999999999997
1704864330000,4.376,7.2666,13.5879,7.5550999999999995,17.867,23.4611,26.778100000000002,22.646200000000004
1704864345000,2.8636666666666666,4.9887,11.675199999999998,10.5871,18.224333333333334,21.6508,28.0172,26.392699999999998
1704864360000,1.557,13.3377,13.5001,11.2745,18.544,22.979400000000002,27.9298,23.3928
1704864375000,3.561,19.731769230769228,10.812750000000001,13.606571428571428,17.883333333333333,29.75053846153846,28.462500000000002,29.323785714285712
1704864390000,3.3966666666666665,13.143133333333333,10.757,18.003133333333338,17.912000000000003,25.225333333333335,27.874866666666666,30.404200000000003
1704864405000,3.3209999999999997,12.520533333333331,14.204466666666669,15.585666666666663,19.080000000000002,28.590066666666665,27.797399999999996,28.74066666666667
1704864420000,2.211333333333333,15.603400000000002,23.093199999999996,18.651199999999996,18.116333333333333,30.659333333333333,37.80353333333333,33.542399999999994
1704864435000,3.632333333333333,7.435266666666666,31.874733333333335,19.349733333333333,18.089,25.112466666666663,51.790000000000006,30.921400000000002
1704864450000,4.6723333333333334,9.910733333333333,12.016000000000002,14.743200000000002,19.811666666666667,24.36273333333333,26.808733333333333,29.544
1704864465000,3.8106666666666666,12.350733333333334,19.0752,23.178399999999996,18.138666666666666,25.356199999999998,31.036799999999996,35.9398
1704864480000,1.6386666666666667,13.360666666666667,15.6858,16.564866666666667,17.965666666666667,27.58593333333333,32.687666666666665,33.6784
1704864495000,1.552,9.050466666666665,15.0378,15.382533333333333,18.405666666666665,24.008799999999997,29.256933333333336,29.251933333333334
1704864510000,1.9500000000000002,9.705666666666668,21.961066666666667,17.076066666666666,18.077333333333335,24.760866666666665,33.3026,32.48133333333334
1704864525000,2.983,8.808066666666665,14.447266666666666,12.860000000000001,18.819,25.679666666666666,28.445000000000004,27.658466666666666
