sep=,
"Time","open5gs-iperf01-754c648d78-dm6s5","open5gs-iperf04-6589c5768d-8szmr","open5gs-ue01-7886556548-7cn5n","open5gs-ue01-7886556548-9cgct","open5gs-ue01-7886556548-gtj6w","open5gs-ue01-7886556548-m4nxr","open5gs-upf-1-67b984f4f6-5rvwf","open5gs-upf-2-f49c78d8-4kfh7","open5gs-upf-3-78c957744b-27f2c","open5gs-upf-4-6859f69b7d-5mpt9"
1704512580000,undefined,0,undefined,undefined,undefined,undefined,436.3666666666667,268.6333333333333,471.43333333333334,496.06666666666666
1704512640000,2.3333333333333335,0,undefined,undefined,undefined,undefined,340.26666666666665,395.3666666666667,517.4333333333333,458.4
1704512700000,15992354.121529281,0,149.89500349988333,306.556448118396,357.92140261991267,95.56348121729275,32519382.266666666,460.1666666666667,737.8666666666667,628.6
1704512760000,11765519.682677243,0,242.59191360287988,164.8611712942902,224.6591780273991,242.8252391586947,25631525.1,474.4,585.3333333333334,302.6100870029001
1704512820000,13345577.8,0,316.12279590680305,267.42441918602714,210.9929669011033,236.45878470717642,23193487.65041165,480.98396720109326,446.1851271624279,621.5792806906436
1704512880000,14519110.6,0,261.1666666666667,240.0666666666667,174.3,236.33333333333334,20479112.633333333,321.4,439.6666666666667,565.4478184060531
1704512940000,16586670.6,0,242.70000000000002,228.03333333333333,231.23333333333332,301.6666666666667,19888275.866666667,416.3,506.7,458.6513782873904
1704513000000,12767587.2,0,236.33333333333334,238.10000000000002,228.26666666666668,213.46666666666667,23969227.833333336,372.06666666666666,511.5,484.1333333333333
1704513060000,6967414.580486016,0,191.79360687977066,232.1922602579914,202.75990800306656,215.6594780173994,22349025.334177807,502.05006833561123,437.2812427080903,476.73333333333335
1704513120000,12040869,0,188.86037132095595,303.2232258924702,227.29242358588047,266.5244491850272,31514529.84900503,432.71890936968765,296.1234625512483,491.0163672122404
1704513180000,11115946.2,0,299.2233592213593,293.6902103263224,204.7265091163628,230.1923269224359,24872972.733333334,393.26666666666665,584.8666666666667,434.93333333333334
1704513240000,13909634.4,0,220.80736024534153,252.4750825027501,198.60662022067402,340.511350378346,25629127.5,455.76666666666665,374.5,442.1480716023868
1704513300000,12765455.648521617,0,300.6899770007666,129.99566681110628,266.4244525182494,224.29252358254723,15178262.6,319.2,520.2333333333333,516.4838827960932
1704513360000,12380693.466666667,2.3333333333333335,256.9914336188794,131.9622679244025,302.3232558914703,232.39225359154693,33878685.289509654,434.98116603886797,448.6149538317944,274.8
1704513420000,11743223.625879137,0,220.0259991333622,158.9613679544015,224.5591813606213,234.35885470484317,25504647.733333334,341.96666666666664,448.6,463.53333333333336
1704513480000,12200285.066666666,0,216.49278357388087,242.0252658244725,287.0904303189894,238.2920569314356,15041282.109403647,414.1138037934598,369.7789926330878,572.2857428580953
1704513540000,11634656.066666666,0,158.86666666666667,245.66666666666669,206.7,140.4,25989975.633333333,314.8,589.5333333333333,514.4666666666667
1704513600000,11084376.6,0,234.374479149305,232.2077402580086,214.80716023867464,257.0085669522318,20550231.10770359,430.5476849228308,385.9128637621254,525.4666666666667
1704513660000,9462601.133333333,0,172.56666666666666,301.2666666666667,204.73333333333332,328.1,39072777.63333334,369.8666666666667,446.6,512.2495916802773
1704513720000,10633283.223892536,0,242.23333333333335,240.0666666666667,233.43333333333334,240.26666666666668,34918457.25142495,453.5515482817239,508.88303723209225,279.53333333333336
1704513780000,14300744.266666668,0,309.9896670110996,275.290823639212,210.9929669011033,242.22525915802805,25568704.843171895,476.31745608479713,291.3236225459151,279.0759691989733
1704513840000,14686335.6,0,288.9666666666667,209.13333333333335,159.6,128.13333333333333,25846952.131737724,462.48208273609123,450.8150271675723,521.3333333333334
1704513900000,11681057.466666667,0,288.6237125429152,252.09159694676845,233.75887470417652,260.3913202893237,33777959.3,268.6333333333333,444.2,570.6
1704513960000,14494118.6,0,120.56666666666666,291.8666666666667,197.16666666666666,185.9,27395294.590180326,407.0197660077997,370.1543281890603,737.508749708343
1704514020000,11931304.666666666,0,258.77529250975033,259.6753225107504,283.17610587019567,230.44101470049003,23277738.03333333,430.53333333333336,598.8666666666667,570.8
1704514080000,15402543.21810727,0,201.95993466884437,228.55904803173226,254.9915002833239,236.32545581813937,30269105.266666666,277.53333333333336,583,518.6
1704514140000,14440976.333333334,0,244.42518582713907,301.256624779174,135.82880570647646,246.1584613846205,22718851.833333336,369.8666666666667,372.1,461.1333333333333
1704514200000,12095409.866666667,0,205.90686356211873,238.10793693123105,220.40734691156374,180.67268908963632,27457545.551518384,434.9478315943865,439.68132271075706,630.8
1704514260000,0,0,undefined,undefined,undefined,undefined,386,360.96666666666664,594.2,433.6666666666667

