sep=,
"Time","open5gs-upf-1","open5gs-upf-2","open5gs-upf-3","open5gs-upf-4"
1704785715000,29945856,29978624,29609984,29683712
1704785730000,29945856,29978624,29614080,29683712
1704785745000,29978624,30011392,29642752,29724672
1704785760000,29999104,30027776,29659136,29736960
1704785775000,30007296,30031872,29663232,29736960
1704785790000,30011392,30031872,29671424,29745152
1704785805000,30015488,30031872,29671424,29749248
1704785820000,30015488,30035968,29671424,29749248
1704785835000,30015488,30040064,29671424,29749248
1704785850000,30019584,30040064,29675520,29749248
1704785865000,30023680,30040064,29679616,29753344
1704785880000,30023680,30040064,29679616,29753344
1704785895000,30027776,30048256,29679616,29757440
1704785910000,30027776,30052352,29683712,29761536
1704785925000,30031872,30052352,29683712,29761536
1704785940000,30035968,30052352,29687808,29765632
1704785955000,30035968,30052352,29691904,29769728
1704785970000,30035968,30056448,29691904,29773824
1704785985000,30035968,30060544,29691904,29773824
1704786000000,30040064,30060544,29691904,29773824
1704786015000,30044160,30064640,29696000,29777920
1704786030000,30048256,30064640,29704192,29782016
1704786045000,30076928,30085120,29732864,29802496
1704786060000,30117888,30146560,29769728,29851648
1704786075000,30117888,30146560,29773824,29851648
1704786090000,30117888,30150656,29773824,29851648
1704786105000,30117888,30150656,29777920,29855744
1704786120000,30121984,30150656,29782016,29855744
1704786135000,30130176,30154752,29782016,29859840
1704786150000,30134272,30158848,29786112,29863936
1704786165000,30134272,30162944,29786112,29863936
1704786180000,30134272,30162944,29790208,29868032
1704786195000,30138368,30162944,29790208,29868032
1704786210000,30138368,30162944,29794304,29872128
1704786225000,30142464,30167040,29794304,29872128
1704786240000,30142464,30167040,29794304,29872128
1704786255000,30142464,30171136,29798400,29880320
1704786270000,30146560,30175232,29802496,29880320
1704786285000,30150656,30175232,29806592,29888512
1704786300000,30154752,30179328,29806592,29888512
1704786315000,30154752,30179328,29806592,29888512
1704786330000,30154752,30183424,29810688,29892608
1704786345000,30154752,30183424,29818880,29892608
1704786360000,30363648,30257152,29908992,29970432
1704786375000,30404608,30289920,30081024,30154752
1704786390000,30412800,30298112,30089216,30158848
1704786405000,30416896,30298112,30089216,30162944
1704786420000,30416896,30298112,30089216,30162944
1704786435000,30416896,30302208,30093312,30167040
1704786450000,30420992,30302208,30093312,30167040
1704786465000,30425088,30302208,30093312,30171136
1704786480000,30429184,30306304,30097408,30171136
1704786495000,30429184,30306304,30097408,30171136
1704786510000,30433280,30310400,30105600,30175232
1704786525000,30437376,30314496,30105600,30179328
1704786540000,30437376,30314496,30105600,30187520
1704786555000,30437376,30318592,30105600,30187520
1704786570000,30441472,30318592,30109696,30187520
1704786585000,30441472,30318592,30109696,30191616
1704786600000,30441472,30322688,30113792,30191616
1704786615000,30445568,30322688,30113792,30195712
1704786630000,30449664,30326784,30121984,30195712
1704786645000,30453760,30330880,30121984,30199808
1704786660000,30511104,30552064,30179328,30265344
1704786675000,30535680,30593024,30228480,30306304
1704786690000,30552064,30593024,30228480,30306304
1704786705000,30556160,30597120,30232576,30306304
1704786720000,30556160,30597120,30232576,30306304
1704786735000,30556160,30601216,30232576,30310400
1704786750000,30564352,30601216,30240768,30314496
1704786765000,30564352,30605312,30240768,30318592
1704786780000,30572544,30605312,30244864,30318592
1704786795000,30572544,30609408,30244864,30318592
1704786810000,30572544,30609408,30244864,30322688
1704786825000,30572544,30613504,30244864,30330880
1704786840000,30576640,30613504,30248960,30330880
1704786855000,30576640,30613504,30248960,30330880
1704786870000,30584832,30617600,30253056,30330880
1704786885000,30584832,30621696,30257152,30339072
1704786900000,30584832,30625792,30257152,30343168
1704786915000,30588928,30625792,30261248,30343168
1704786930000,30588928,30625792,30261248,30343168
1704786945000,30593024,30629888,30265344,30343168
1704786960000,30621696,30658560,30281728,30380032
1704786975000,30662656,30707712,30334976,30425088
1704786990000,30666752,30707712,30339072,30425088
1704787005000,30666752,30711808,30347264,30429184
1704787020000,30670848,30711808,30351360,30429184
1704787035000,30670848,30711808,30351360,30429184
1704787050000,30674944,30715904,30351360,30433280
1704787065000,30674944,30720000,30351360,30437376
1704787080000,30674944,30720000,30351360,30437376
1704787095000,30674944,30720000,30355456,30437376
1704787110000,30687232,30720000,30359552,30437376
1704787125000,30687232,30728192,30363648,30453760
1704787140000,30691328,30732288,30363648,30453760
1704787155000,30691328,30732288,30363648,30453760
1704787170000,30691328,30732288,30367744,30453760
1704787185000,30695424,30732288,30371840,30453760
1704787200000,30695424,30732288,30371840,30453760
1704787215000,30699520,30740480,30371840,30461952
1704787230000,30703616,30740480,30371840,30461952
1704787245000,30703616,30744576,30375936,30466048
1704787260000,30703616,30744576,30384128,30466048
1704787275000,30707712,30744576,30384128,30466048
1704787290000,30711808,30748672,30384128,30474240

