sep=,
"Time","open5gs-ue01 (10.245.1.226)","open5gs-ue02 (10.245.0.79)","open5gs-ue03 (10.245.17.232)","open5gs-ue04 (10.245.3.3)","open5gs-ue01 (8.8.8.8)","open5gs-ue02 (8.8.8.8)","open5gs-ue03 (8.8.8.8)","open5gs-ue04 (8.8.8.8)"
1704785760000,undefined,4.313,3.888,1.839,undefined,19.384,18.398,17.655
1704785775000,2.367,2.976,1.248,1.533,18.8025,17.935,17.502,18.313
1704785790000,3.434,1.63,1.586,2.06,18.235999999999997,17.173,16.895,17.122
1704785805000,8.45475,1.636,1.564,1.128,19.5575,17.093,18.353,17.029
1704785820000,3.8740000000000006,1.38,1.493,1.133,19.74125,17.256,17.346,16.806
1704785835000,3.4684999999999997,1.839,7.809,3.575,19.63375,19.1,20.654,18.841
1704785850000,5.80275,1.763,1.211,1.572,20.5745,17.172,16.847,17.199
1704785865000,8.150500000000001,1.547,1.116,2.272,20.144000000000002,16.793,17.694,18.055
1704785880000,4.957000000000001,1.555,4.137,1.962,19.529,16.766,19.256,18.67
1704785895000,4.0845,2.04,1.733,3.498,19.18925,17.934,17.191,17.311
1704785910000,5.00325,2.426,1.624,2.24,20.9355,17.188,17.022,17.767
1704785925000,3.7272499999999997,1.961,1.072,1.976,21.991,17.163,16.839,16.919
1704785940000,4.99325,2.259,1.201,1.696,19.426000000000002,17.459,16.826,21.347
1704785955000,3.918,13.206,1.961,2.553,18.964499999999997,28.335,16.993,17.721
1704785970000,5.625,1.85,1.537,2.612,20.3265,17.509,17.316,17.425
1704785985000,1.9900000000000002,2.406,1.114,2.621,17.865000000000002,17.565,16.611,17.818
1704786000000,2.88025,1.731,1.637,1.212,18.37475,17.062,16.81,16.835
1704786015000,3.29775,2.144,1.951,1.221,18.0265,17.621,16.563,18.222
1704786030000,3.74175,1.667,1.459,3.786,18.91525,16.893,17.008,20.218
1704786045000,3.3522499999999997,1.697,1.652,1.374,18.08875,17.262,16.924,16.849
1704786060000,2.67075,1.909,5.775,1.836,17.90425,17.251,16.506,21.908
1704786075000,3.475,2.21425,4.0494,5.5798000000000005,18.02675,17.744,20.019199999999998,19.2512
1704786090000,7.67075,2.2432,8.5488,7.134399999999999,22.151999999999997,17.663400000000003,23.572799999999997,20.464
1704786105000,1.92275,3.2408,6.6579999999999995,6.8766,17.152250000000002,18.6856,23.145599999999998,21.291600000000003
1704786120000,2.8964999999999996,2.2654,5.6254,6.4512,18.06375,18.3042,28.901,19.7548
1704786135000,1.7749999999999997,3.8916,10.6604,5.301,17.65325,19.342999999999996,25.785,21.036799999999996
1704786150000,4.761749999999999,4.7152,4.9872,5.4188,17.47175,18.591800000000003,19.66,19.6946
1704786165000,3.1359999999999997,4.3506,11.740599999999999,5.541599999999999,18.023500000000002,19.7808,26.1002,21.348799999999997
1704786180000,3.8555,4.926799999999999,13.5484,5.1014,18.661,18.2956,29.766199999999998,20.4312
1704786195000,5.178749999999999,2.6970000000000005,9.4392,4.824999999999999,17.539499999999997,17.9504,27.5948,19.92125
1704786210000,4.4085,3.2805999999999997,13.553799999999999,5.37225,19.3355,19.037799999999997,29.1246,20.2665
1704786225000,4.91525,4.1552,4.3332,4.13,20.221,18.151000000000003,19.435200000000002,18.99175
1704786240000,3.5655,3.1750000000000003,13.9838,4.964499999999999,18.0985,19.8004,31.672,20.56925
1704786255000,5.161,4.0152,2.2356,6.573,21.56675,18.158,19.1332,22.0855
1704786270000,4.68775,3.5518,8.4432,5.00725,19.08475,18.1066,21.8664,20.19125
1704786285000,4.90425,3.295,11.3448,6.011,18.677,18.698,27.492600000000003,20.4265
1704786300000,5.71175,3.867,14.6328,10.024750000000001,21.311500000000002,17.416999999999998,28.8556,24.903999999999996
1704786315000,5.2135,4.5328,15.2798,5.69475,20.30175,19.389799999999997,26.933600000000002,21.268
1704786330000,4.36725,2.7722,4.648000000000001,7.1419999999999995,21.095750000000002,18.701,19.179199999999998,21.120499999999996
1704786345000,3.9305,5.0962,5.3238,9.1335,19.666999999999998,19.062199999999997,27.980000000000004,21.459249999999997
1704786360000,4.47175,7.738200000000001,7.163199999999999,14.38,20.2205,22.276,19.8458,29.7695
1704786375000,4.8774999999999995,4.309166666666666,12.645285714285716,8.4144,21.356250000000003,20.1985,35.80457142857142,24.5988
1704786390000,7.4815000000000005,6.2926,12.4429,12.886222222222223,24.176499999999997,20.2565,24.588,28.918111111111113
1704786405000,6.12675,6.3159,13.2211,10.247444444444445,20.47475,20.6044,27.978099999999998,23.395555555555557
1704786420000,4.59825,5.1677,18.3974,10.844444444444445,18.8685,20.781299999999998,33.726,24.823777777777778
1704786435000,5.22725,6.5515,10.5487,10.384222222222222,21.828750000000003,21.9653,25.724100000000004,29.059444444444445
1704786450000,1.6320000000000001,7.1937,10.8773,9.198,18.161250000000003,21.454,25.5666,24.612333333333336
1704786465000,1.72525,7.8403,12.478200000000001,8.027555555555557,18.582,21.5058,30.1167,22.501666666666665
1704786480000,2.37975,8.4493,16.078,10.350777777777777,18.258,22.509800000000002,26.0236,26.25588888888889
1704786495000,2.319,6.3178,22.607400000000002,9.52888888888889,16.702333333333332,20.872500000000002,28.411299999999997,23.743000000000002
1704786510000,3.0275,6.3223,13.075700000000001,8.150777777777778,19.0825,21.4228,25.7382,22.12211111111111
1704786525000,1.988,6.7999,5.2965,10.156333333333334,16.822499999999998,20.7851,22.8767,26.067555555555554
1704786540000,2.5445,5.6007,13.494,9.766444444444444,17.5415,20.254900000000003,29.5394,23.641
1704786555000,1.9975,5.609800000000001,9.948900000000002,8.092444444444444,17.5375,20.305699999999998,28.870299999999997,24.869666666666667
1704786570000,1.3014999999999999,6.7519,8.0915,9.518222222222223,18.002,21.1538,21.289299999999997,25.140111111111114
1704786585000,1.124,8.0287,18.3228,16.59133333333333,16.8005,23.9687,36.5497,35.036777777777786
1704786600000,1.6825,11.547599999999997,14.6449,10.433333333333334,16.83,27.214599999999997,28.908199999999997,29.677666666666664
1704786615000,1.7235,6.731999999999999,17.893600000000003,12.321111111111112,17.55,21.436999999999998,26.300299999999996,25.565555555555555
1704786630000,5.189500000000001,11.185,14.998600000000001,14.187666666666665,18.600499999999997,24.8815,28.970699999999997,27.864555555555555
1704786645000,2.7655000000000003,8.7945,24.271,7.393000000000001,17.5685,23.5758,37.3719,26.680666666666664
1704786660000,2.815,8.1043,27.4979,9.294666666666668,18.7715,21.7715,42.476600000000005,25.47522222222222
1704786675000,2.0795,6.522,21.828799999999998,10.503444444444444,18.9235,20.8178,32.243500000000004,26.201555555555554
1704786690000,5.041,6.086333333333333,24.635857142857144,16.04592857142857,19.2575,23.8756,42.031142857142854,29.4945
1704786705000,4.8395,9.995266666666666,25.33973333333333,9.961285714285713,21.4515,25.865266666666663,36.52066666666667,27.79357142857143
1704786720000,2.5205,9.081599999999998,12.981066666666667,16.1605,17.084,25.90586666666666,27.917733333333334,29.327214285714287
1704786735000,4.4005,8.457066666666666,17.604133333333333,13.537571428571429,19.1425,22.230800000000002,32.263600000000004,32.102785714285716
1704786750000,2.9725,8.537600000000001,18.775533333333335,13.197571428571429,18.922,21.293866666666666,27.733466666666665,28.162357142857143
1704786765000,2.4284999999999997,7.133733333333335,14.479933333333333,16.03178571428571,17.064,21.773266666666668,29.31266666666666,34.394
1704786780000,3.9515,15.951066666666668,10.488866666666667,16.665642857142856,22.0195,26.6294,31.163933333333333,29.90435714285714
1704786795000,6.021,9.1536,16.915800000000004,11.878928571428572,21.778,23.600266666666663,32.29086666666667,27.36092857142857
1704786810000,4.312,11.5716,30.9498,15.689714285714286,19.857999999999997,26.71353333333333,37.788666666666664,28.94757142857143
1704786825000,3.7860000000000005,10.476866666666666,22.269666666666666,14.9725,19.9575,24.337866666666663,37.51846666666666,28.941214285714288
1704786840000,6.144,11.113533333333333,15.576933333333333,15.834785714285715,20.615000000000002,23.531599999999997,29.773666666666667,31.766571428571424
1704786855000,4.923,11.2172,21.081066666666665,17.203785714285715,18.659,26.4298,32.787000000000006,32.448071428571424
1704786870000,4.003,8.504533333333335,21.6872,13.258142857142856,18.2795,22.963333333333335,40.45473333333333,25.178071428571428
1704786885000,1.2195,8.594999999999999,13.922466666666663,17.465857142857146,17.000500000000002,26.08006666666667,31.547866666666664,32.80757142857143
